0 0.249823
0.1 0.282898
0.2 0.304224
0.3 0.317981
0.4 0.326999
0.5 0.333045
0.6 0.337193
0.7 0.340104
0.8 0.342189
0.9 0.343707
1 0.34483
1.1 0.345671
1.2 0.346308
1.3 0.346794
1.4 0.347168
1.5 0.347457
1.6 0.347682
1.7 0.347857
1.8 0.347994
1.9 0.348101
2 0.348186
2.1 0.348252
2.2 0.348304
2.3 0.348346
2.4 0.348378
2.5 0.348404
2.6 0.348424
2.7 0.34844
2.8 0.348453
2.9 0.348463
3 0.348471
3.1 0.348477
3.2 0.348482
3.3 0.348486
3.4 0.348489
3.5 0.348492
3.6 0.348494
3.7 0.348495
3.8 0.348496
3.9 0.348497
4 0.348498
4.1 0.348499
4.2 0.348499
4.3 0.3485
4.4 0.3485
4.5 0.3485
4.6 0.3485
4.7 0.3485
4.8 0.3485
4.9 0.348501
5 0.348501
5.1 0.348501
5.2 0.348501
5.3 0.348501
5.4 0.348501
5.5 0.348501
5.6 0.348501
5.7 0.348501
5.8 0.348501
5.9 0.348501
6 0.348501
6.1 0.348501
6.2 0.348501
6.3 0.348501
6.4 0.348501
6.5 0.348501
6.6 0.348501
6.7 0.348501
6.8 0.348501
6.9 0.348501
7 0.348501
7.1 0.348501
7.2 0.348501
7.3 0.348501
7.4 0.348501
7.5 0.348501
7.6 0.348501
7.7 0.348501
7.8 0.348501
7.9 0.348501
8 0.348501
8.1 0.348501
8.2 0.348501
8.3 0.348501
8.4 0.348501
8.5 0.348501
8.6 0.348501
8.7 0.348501
8.8 0.348501
8.9 0.348501
9 0.348501
9.1 0.348501
9.2 0.348501
9.3 0.348501
9.4 0.348501
9.5 0.348501
9.6 0.348501
9.7 0.348501
9.8 0.348501
9.9 0.348501
